sol_id,enemies_beaten,ind_gain
0,8,449.20000000000107
1,8,513.400000000001
2,6,367.80000000000075
3,5,124.40000000000086
4,8,524.6000000000014
5,5,244.60000000000036
6,7,154.00000000000094
7,7,314.4000000000009
8,6,276.60000000000065
9,7,425.4000000000009
