sol_id,enemies_beaten,ind_gain
0,7,311.0000000000012
1,8,479.60000000000105
2,7,273.2000000000015
3,7,432.8000000000011
4,7,386.400000000001
5,6,240.60000000000085
6,6,162.20000000000147
7,8,321.00000000000114
8,8,445.0000000000011
9,8,454.200000000001
