sol_id,enemies_beaten,ind_gain
0,7,358.00000000000114
1,5,268.0000000000002
2,7,409.40000000000094
3,6,249.80000000000086
4,6,216.6000000000009
5,6,267.80000000000103
6,5,177.6000000000007
7,6,211.60000000000107
8,6,361.6000000000007
9,5,153.00000000000094
