,score,enemies beaten,enemies beaten list,enemies not beaten list,enemy lives,player lives,times
28,1.3499999999999999,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 50.0, 90.0, 70.0, 0, 90.0, 30.0, 90.0]","[0, 0, 0, 0, 55.00000000000032, 0, 0, 0]","[308, 328, 227, 217, 242, 147, 313, 208]"
29,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 39.40000000000028, 0, 0, 0]","[313, 300, 341, 651, 1000, 213, 437, 381]"
30,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 313, 199]"
31,1.3624999999999998,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 40.0, 90.0, 70.0, 0, 90.0, 30.0, 90.0]","[0, 0, 0, 0, 33.40000000000027, 0, 0, 0]","[308, 329, 227, 217, 292, 147, 313, 208]"
32,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 56.800000000000324, 0, 0, 0]","[413, 368, 525, 444, 1000, 247, 15, 328]"
33,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 440, 102, 315, 205]"
34,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 40.600000000000286, 0, 0, 0]","[308, 329, 227, 149, 1000, 174, 313, 208]"
35,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
36,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 90.40000000000009, 0, 0, 0]","[643, 199, 327, 1034, 1000, 497, 28, 482]"
37,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 70.00000000000028, 0, 0, 0]","[315, 320, 340, 354, 1000, 215, 302, 224]"
38,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 8.800000000000232, 86.20000000000013, 0, 0, 12.40000000000023]","[398, 342, 522, 1500, 1000, 486, 15, 1000]"
39,0.037500000000000006,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 80.0, 100, 100, 100, 90.0, 100]","[0, 0, 0, 0, 63.40000000000034, 0, 0, 0]","[308, 320, 337, 354, 1000, 211, 307, 222]"
40,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 53.80000000000032, 0, 0, 0]","[331, 608, 83, 247, 1000, 240, 415, 489]"
41,0.025,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[90.0, 100, 100, 100, 100, 100, 90.0, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[321, 320, 340, 224, 755, 124, 382, 233]"
42,1.5,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[90.0, 20.0, 80.0, 60.0, 0, 80.0, 20.0, 50.0]","[0, 0, 0, 0, 45.4000000000003, 0, 0, 0]","[321, 172, 156, 258, 266, 253, 221, 391]"
43,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[338, 342, 339, 147, 1000, 216, 17, 240]"
44,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
45,3.5625000000000004,3,"[2, 5, 8]","[1, 3, 4, 6, 7]","[70.0, 0, 70.0, 70.0, 0, 70.0, 70.0, 0]","[0, 64, 0, 0, 68.8000000000003, 0, 0, 25.00000000000025]","[308, 260, 337, 273, 262, 163, 307, 412]"
46,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 320, 340, 232, 802, 162, 302, 224]"
47,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
48,1.3875,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[50.0, 70.0, 30.0, 80.0, 0, 90.0, 100, 70.0]","[0, 0, 0, 0, 82.00000000000017, 0, 0, 0]","[398, 342, 522, 485, 332, 345, 15, 382]"
49,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 74.80000000000024, 0, 0, 0]","[321, 164, 83, 544, 1000, 302, 389, 484]"
50,0.0125,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 90.0]","[0, 0, 0, 0, 0, 0, 0, 0]","[331, 600, 211, 144, 532, 243, 309, 489]"
51,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 52.00000000000031, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
52,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 320, 340, 226, 755, 124, 302, 224]"
53,0.0125,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 90.0]","[0, 0, 0, 0, 53.80000000000032, 0, 0, 0]","[331, 252, 83, 203, 1000, 240, 400, 489]"
54,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 320, 340, 224, 755, 124, 302, 224]"
55,0.025,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 80.0, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 403, 102, 314, 205]"
56,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 90.40000000000009, 0, 0, 0]","[413, 368, 525, 1365, 1000, 468, 15, 328]"
57,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 56.800000000000324, 0, 0, 0]","[413, 368, 525, 426, 1000, 247, 15, 328]"
58,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 482, 102, 315, 199]"
59,0.325,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[90.0, 10.0, 70.0, 90.0, 90.0, 100, 20.0, 70.0]","[0, 0, 0, 0, 88.60000000000011, 0, 0, 0]","[321, 154, 83, 246, 1000, 213, 396, 342]"
60,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 70.00000000000028, 0, 0, 0]","[315, 320, 340, 354, 1000, 215, 302, 224]"
61,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 440, 113, 317, 205]"
62,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 69.40000000000029, 0, 0, 0]","[321, 206, 284, 535, 1000, 279, 485, 484]"
63,1.3624999999999998,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 40.0, 90.0, 70.0, 0, 90.0, 30.0, 90.0]","[0, 0, 0, 0, 33.40000000000027, 0, 0, 0]","[311, 605, 227, 248, 292, 147, 489, 232]"
64,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 117, 315, 205]"
65,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 13.00000000000023, 0, 0, 0]","[331, 598, 83, 178, 1000, 305, 16, 477]"
66,1.3875,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 30.0, 90.0, 70.0, 0, 90.0, 20.0, 90.0]","[0, 0, 0, 0, 35.800000000000274, 0, 0, 0]","[308, 329, 227, 237, 292, 147, 311, 226]"
67,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[398, 322, 339, 219, 935, 102, 28, 223]"
68,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 338, 147, 1000, 177, 317, 205]"
69,0.13749999999999998,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[70.0, 90.0, 100, 70.0, 90.0, 100, 90.0, 80.0]","[0, 0, 0, 0, 0, 0, 0, 0]","[308, 320, 340, 269, 690, 123, 309, 222]"
70,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
71,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 40.600000000000286, 0, 0, 0]","[308, 329, 227, 149, 1000, 174, 313, 213]"
