n_iter,n_gens,ind_id,mean_obj,obj_1,obj_2,obj_3
0,0,0,1e-05,1e-05,1e-05,1e-05
0,0,1,1e-05,1e-05,1e-05,1e-05
0,0,2,22.06149981401191,3.092244721017863,63.09224472101786,1e-05
0,0,3,1e-05,1e-05,1e-05,1e-05
0,0,4,35.47483164828035,3.092244721017863,103.33224022382318,1e-05
0,0,5,1e-05,1e-05,1e-05,1e-05
0,0,6,12.06149981401191,23.092244721017863,13.092244721017863,1e-05
0,0,7,1e-05,1e-05,1e-05,1e-05
0,0,8,1e-05,1e-05,1e-05,1e-05
0,0,9,1.0307549070059545,1e-05,3.092244721017863,1e-05
0,0,10,1e-05,1e-05,1e-05,1e-05
0,0,11,35.55860047895532,3.092244721017863,103.58354671584809,1e-05
0,0,12,1e-05,1e-05,1e-05,1e-05
0,0,13,1e-05,1e-05,1e-05,1e-05
0,0,14,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,0,15,50.14433298989911,23.092244721017863,104.24850952766161,23.092244721017863
0,0,16,1e-05,1e-05,1e-05,1e-05
0,0,17,25.394833147345242,23.092244721017863,53.09224472101786,1e-05
0,0,18,9.75891138768453,3.092244721017863,3.092244721017863,23.092244721017863
0,0,19,46.781129383424435,13.092244721017863,104.1588987082376,23.092244721017863
0,1,0,1e-05,1e-05,1e-05,1e-05
0,1,1,1e-05,1e-05,1e-05,1e-05
0,1,2,22.061499814011913,3.0922447210178636,63.09224472101787,1e-05
0,1,3,1e-05,1e-05,1e-05,1e-05
0,1,4,35.47483164828034,3.0922447210178636,103.33224022382316,1e-05
0,1,5,1e-05,1e-05,1e-05,1e-05
0,1,6,12.06149981401191,23.092244721017863,13.092244721017863,1e-05
0,1,7,1e-05,1e-05,1e-05,1e-05
0,1,8,1e-05,1e-05,1e-05,1e-05
0,1,9,1.0307549070059545,1e-05,3.0922447210178636,1e-05
0,1,10,1e-05,1e-05,1e-05,1e-05
0,1,11,35.55860047895531,3.0922447210178636,103.58354671584807,1e-05
0,1,12,1e-05,1e-05,1e-05,1e-05
0,1,13,1e-05,1e-05,1e-05,1e-05
0,1,14,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,1,15,50.14433298989911,23.092244721017863,104.2485095276616,23.092244721017863
0,1,16,1e-05,1e-05,1e-05,1e-05
0,1,17,25.394833147345242,23.092244721017863,53.09224472101786,1e-05
0,1,18,9.75891138768453,3.0922447210178636,3.0922447210178636,23.092244721017863
0,1,19,46.781129383424435,13.092244721017863,104.1588987082376,23.092244721017863
0,2,0,1e-05,1e-05,1e-05,1e-05
0,2,1,1e-05,1e-05,1e-05,1e-05
0,2,2,1e-05,1e-05,1e-05,1e-05
0,2,3,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,2,4,50.14433298989911,23.092244721017863,104.2485095276616,23.092244721017863
0,2,5,42.116796573279395,23.092244721017863,103.25813499882032,1e-05
0,2,6,1e-05,1e-05,1e-05,1e-05
0,2,7,1e-05,1e-05,1e-05,1e-05
0,2,8,1e-05,1e-05,1e-05,1e-05
0,2,9,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,2,10,16.425578054351195,23.092244721017863,23.092244721017863,3.0922447210178636
0,2,11,1e-05,1e-05,1e-05,1e-05
0,2,12,1.0307549070059545,1e-05,3.0922447210178636,1e-05
0,2,13,1e-05,1e-05,1e-05,1e-05
0,2,14,1e-05,1e-05,1e-05,1e-05
0,2,15,35.24379449221789,3.0922447210178636,102.6391287556358,1e-05
0,2,16,1e-05,1e-05,1e-05,1e-05
0,2,17,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,2,18,1e-05,1e-05,1e-05,1e-05
0,2,19,1e-05,1e-05,1e-05,1e-05
0,3,0,25.394833147345242,23.092244721017863,53.09224472101786,1e-05
0,3,1,50.14433298989911,23.092244721017863,104.2485095276616,23.092244721017863
0,3,2,1e-05,1e-05,1e-05,1e-05
0,3,3,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,3,4,1e-05,1e-05,1e-05,1e-05
0,3,5,1e-05,1e-05,1e-05,1e-05
0,3,6,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,3,7,35.47483164828034,3.0922447210178636,103.33224022382316,1e-05
0,3,8,50.14433298989911,23.092244721017863,104.2485095276616,23.092244721017863
0,3,9,1e-05,1e-05,1e-05,1e-05
0,3,10,35.47483164828034,3.0922447210178636,103.33224022382316,1e-05
0,3,11,1e-05,1e-05,1e-05,1e-05
0,3,12,1e-05,1e-05,1e-05,1e-05
0,3,13,1e-05,1e-05,1e-05,1e-05
0,3,14,1e-05,1e-05,1e-05,1e-05
0,3,15,25.394833147345242,23.092244721017863,53.09224472101786,1e-05
0,3,16,35.47483164828034,3.0922447210178636,103.33224022382316,1e-05
0,3,17,35.47483164828034,3.0922447210178636,103.33224022382316,1e-05
0,3,18,50.14433298989911,23.092244721017863,104.2485095276616,23.092244721017863
0,3,19,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,4,0,26.425578054351195,23.092244721017863,23.092244721017863,33.09224472101786
0,4,1,25.394833147345242,23.092244721017863,53.09224472101786,1e-05
0,4,2,50.14433298989911,23.092244721017863,104.2485095276616,23.092244721017863
0,4,3,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,4,4,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,4,5,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,4,6,4.364088240339288,1e-05,13.092244721017863,1e-05
0,4,7,39.75891138768453,33.09224472101786,63.09224472101787,23.092244721017863
0,4,8,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,4,9,36.4255780543512,23.092244721017863,63.09224472101787,23.092244721017863
0,4,10,19.75891138768453,23.092244721017863,3.0922447210178636,33.09224472101786
0,4,11,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,4,12,25.394833147345242,23.092244721017863,53.09224472101786,1e-05
0,4,13,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,4,14,19.75891138768453,13.092244721017863,23.092244721017863,23.092244721017863
0,4,15,25.394833147345242,23.092244721017863,53.09224472101786,1e-05
0,4,16,50.14433298989911,23.092244721017863,104.2485095276616,23.092244721017863
0,4,17,26.425578054351195,13.092244721017863,23.092244721017863,43.09224472101786
0,4,18,29.75891138768453,33.09224472101786,33.09224472101786,23.092244721017863
0,4,19,46.81099965656578,13.092244721017863,104.2485095276616,23.092244721017863
0,5,0,12.06149981401191,23.092244721017863,13.092244721017863,1e-05
