n_iter,n_gens,ind_id,mean_obj,obj_1,obj_2,obj_3
0,0,0,33.09224472101786,83.09224472101786,3.092244721017863,13.092244721017863
0,0,1,1.0307549070059545,3.092244721017863,1e-05,1e-05
0,0,2,1e-05,1e-05,1e-05,1e-05
0,0,3,1.0307549070059545,1e-05,1e-05,3.092244721017863
0,0,4,7.697421573672621,23.092244721017863,1e-05,1e-05
0,0,5,29.75891138768453,83.09224472101786,3.092244721017863,3.092244721017863
0,0,6,1e-05,1e-05,1e-05,1e-05
0,0,7,1e-05,1e-05,1e-05,1e-05
0,0,8,1e-05,1e-05,1e-05,1e-05
0,0,9,16.425578054351195,3.092244721017863,23.092244721017863,23.092244721017863
0,0,10,1e-05,1e-05,1e-05,1e-05
0,0,11,1e-05,1e-05,1e-05,1e-05
0,0,12,1e-05,1e-05,1e-05,1e-05
0,0,13,8.728166480678576,13.092244721017863,1e-05,13.092244721017863
0,0,14,1e-05,1e-05,1e-05,1e-05
0,0,15,1e-05,1e-05,1e-05,1e-05
0,0,16,13.092244721017863,33.09224472101786,3.092244721017863,3.092244721017863
0,0,17,1e-05,1e-05,1e-05,1e-05
0,0,18,1e-05,1e-05,1e-05,1e-05
0,0,19,1e-05,1e-05,1e-05,1e-05
0,1,0,33.09224472101786,83.09224472101786,3.0922447210178636,13.092244721017863
0,1,1,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,1,2,1e-05,1e-05,1e-05,1e-05
0,1,3,1.0307549070059545,1e-05,1e-05,3.0922447210178636
0,1,4,7.697421573672621,23.092244721017863,1e-05,1e-05
0,1,5,29.75891138768453,83.09224472101786,3.0922447210178636,3.0922447210178636
0,1,6,1e-05,1e-05,1e-05,1e-05
0,1,7,1e-05,1e-05,1e-05,1e-05
0,1,8,1e-05,1e-05,1e-05,1e-05
0,1,9,16.425578054351195,3.0922447210178636,23.092244721017863,23.092244721017863
0,1,10,1e-05,1e-05,1e-05,1e-05
0,1,11,1e-05,1e-05,1e-05,1e-05
0,1,12,1e-05,1e-05,1e-05,1e-05
0,1,13,8.728166480678576,13.092244721017863,1e-05,13.092244721017863
