n_iter,n_gens,ind_id,mean_obj,obj_1,obj_2,obj_3
0,0,0,1e-05,1e-05,1e-05,1e-05
0,0,1,1e-05,1e-05,1e-05,1e-05
0,0,2,1e-05,1e-05,1e-05,1e-05
0,0,3,1e-05,1e-05,1e-05,1e-05
0,0,4,1.0307549070059545,1e-05,1e-05,3.092244721017863
0,0,5,1e-05,1e-05,1e-05,1e-05
0,0,6,1e-05,1e-05,1e-05,1e-05
0,0,7,12.06149981401191,1e-05,33.09224472101786,3.092244721017863
0,0,8,1e-05,1e-05,1e-05,1e-05
0,0,9,39.72675723811325,102.99578227230403,13.092244721017863,3.092244721017863
0,0,10,26.425578054351195,3.092244721017863,33.09224472101786,43.09224472101786
0,0,11,1e-05,1e-05,1e-05,1e-05
0,0,12,1e-05,1e-05,1e-05,1e-05
0,0,13,1.0307549070059545,1e-05,3.092244721017863,1e-05
0,0,14,46.781129383424435,104.1588987082376,13.092244721017863,23.092244721017863
0,0,15,1e-05,1e-05,1e-05,1e-05
0,0,16,1e-05,1e-05,1e-05,1e-05
0,0,17,43.09224472101786,23.092244721017863,23.092244721017863,83.09224472101786
0,0,18,1e-05,1e-05,1e-05,1e-05
0,0,19,1e-05,1e-05,1e-05,1e-05
0,1,0,1e-05,1e-05,1e-05,1e-05
0,1,1,1e-05,1e-05,1e-05,1e-05
0,1,2,1e-05,1e-05,1e-05,1e-05
0,1,3,1e-05,1e-05,1e-05,1e-05
0,1,4,1.0307549070059545,1e-05,1e-05,3.0922447210178636
0,1,5,1e-05,1e-05,1e-05,1e-05
0,1,6,1e-05,1e-05,1e-05,1e-05
0,1,7,12.06149981401191,1e-05,33.09224472101786,3.0922447210178636
0,1,8,1e-05,1e-05,1e-05,1e-05
0,1,9,39.72675723811325,102.99578227230403,13.092244721017863,3.0922447210178636
0,1,10,26.425578054351195,3.0922447210178636,33.09224472101786,43.09224472101786
0,1,11,1e-05,1e-05,1e-05,1e-05
0,1,12,1e-05,1e-05,1e-05,1e-05
0,1,13,1.0307549070059545,1e-05,3.0922447210178636,1e-05
0,1,14,46.781129383424435,104.1588987082376,13.092244721017863,23.092244721017863
0,1,15,1e-05,1e-05,1e-05,1e-05
0,1,16,1e-05,1e-05,1e-05,1e-05
0,1,17,43.09224472101786,23.092244721017863,23.092244721017863,83.09224472101786
0,1,18,1e-05,1e-05,1e-05,1e-05
0,1,19,1e-05,1e-05,1e-05,1e-05
0,2,0,1e-05,1e-05,1e-05,1e-05
0,2,1,1e-05,1e-05,1e-05,1e-05
0,2,2,1e-05,1e-05,1e-05,1e-05
0,2,3,12.06149981401191,1e-05,33.09224472101786,3.0922447210178636
0,2,4,26.490976214096417,3.0922447210178636,3.0922447210178636,73.28843920025352
0,2,5,1e-05,1e-05,1e-05,1e-05
0,2,6,1e-05,1e-05,1e-05,1e-05
0,2,7,66.42557805435119,63.09224472101787,53.09224472101786,83.09224472101786
0,2,8,1e-05,1e-05,1e-05,1e-05
0,2,9,29.75891138768453,3.0922447210178636,23.092244721017863,63.09224472101787
0,2,10,1e-05,1e-05,1e-05,1e-05
0,2,11,36.4255780543512,83.09224472101786,13.092244721017863,13.092244721017863
0,2,12,1e-05,1e-05,1e-05,1e-05
0,2,13,1e-05,1e-05,1e-05,1e-05
0,2,14,1e-05,1e-05,1e-05,1e-05
0,2,15,1e-05,1e-05,1e-05,1e-05
0,2,16,1e-05,1e-05,1e-05,1e-05
0,2,17,26.425578054351195,63.09224472101787,13.092244721017863,3.0922447210178636
0,2,18,1e-05,1e-05,1e-05,1e-05
0,2,19,1e-05,1e-05,1e-05,1e-05
0,3,0,1e-05,1e-05,1e-05,1e-05
0,3,1,1e-05,1e-05,1e-05,1e-05
0,3,2,1e-05,1e-05,1e-05,1e-05
0,3,3,1e-05,1e-05,1e-05,1e-05
0,3,4,1e-05,1e-05,1e-05,1e-05
0,3,5,1e-05,1e-05,1e-05,1e-05
0,3,6,53.47766632323245,104.2485095276616,13.092244721017863,43.09224472101786
0,3,7,1e-05,1e-05,1e-05,1e-05
0,3,8,3.0922447210178636,3.0922447210178636,3.0922447210178636,3.0922447210178636
0,3,9,1e-05,1e-05,1e-05,1e-05
0,3,10,38.959378832545774,100.6936470556016,13.092244721017863,3.0922447210178636
0,3,11,19.75891138768453,23.092244721017863,23.092244721017863,13.092244721017863
0,3,12,50.03350812961791,33.09224472101786,103.916034946818,13.092244721017863
0,3,13,26.425578054351195,23.092244721017863,43.09224472101786,13.092244721017863
0,3,14,2.0614998140119094,1e-05,3.0922447210178636,3.0922447210178636
0,3,15,1e-05,1e-05,1e-05,1e-05
0,3,16,43.51373702971864,104.35672164712021,13.092244721017863,13.092244721017863
0,3,17,63.172243221952975,83.09224472101786,103.33224022382319,3.0922447210178636
0,3,18,59.96276071296066,13.092244721017863,103.70379269684624,63.09224472101787
0,3,19,1.0307549070059545,1e-05,3.0922447210178636,1e-05
0,4,0,29.75891138768453,73.09224472101786,3.0922447210178636,13.092244721017863
0,4,1,46.75514262522497,3.0922447210178636,104.08093843363919,33.09224472101786
0,4,2,36.4255780543512,83.09224472101786,23.092244721017863,3.0922447210178636
0,4,3,1e-05,1e-05,1e-05,1e-05
0,4,4,33.09224472101786,23.092244721017863,23.092244721017863,53.09224472101786
0,4,5,66.79639899556283,33.09224472101786,104.20470754465273,63.09224472101787
0,4,6,17.25268343882799,1e-05,51.75803031648396,1e-05
0,4,7,63.15009567333777,83.09224472101786,103.2657975779776,3.0922447210178636
0,4,8,63.17931037476175,83.09224472101786,103.35344168224952,3.0922447210178636
0,4,9,16.425578054351195,13.092244721017863,3.0922447210178636,33.09224472101786
0,4,10,1e-05,1e-05,1e-05,1e-05
0,4,11,73.61364074559837,104.2766800078085,33.09224472101786,83.47199750796877
0,4,12,1e-05,1e-05,1e-05,1e-05
0,4,13,46.532988314881244,23.092244721017863,103.41447550260801,13.092244721017863
0,4,14,63.17931037476175,83.09224472101786,103.35344168224952,3.0922447210178636
0,4,15,12.06149981401191,1e-05,33.09224472101786,3.0922447210178636
0,4,16,2.0614998140119094,3.0922447210178636,1e-05,3.0922447210178636
0,4,17,46.71574152433518,23.092244721017863,103.9627351309698,13.092244721017863
0,4,18,1e-05,1e-05,1e-05,1e-05
0,4,19,33.09224472101786,83.09224472101786,13.092244721017863,3.0922447210178636
0,5,0,19.75891138768453,23.092244721017863,23.092244721017863,13.092244721017863
0,5,1,19.75891138768453,23.092244721017863,23.092244721017863,13.092244721017863
0,5,2,16.425578054351195,3.0922447210178636,33.09224472101786,13.092244721017863
