% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=834240, Sat Oct  7 20:48:29 2023, <python>{}</python>
1 50 0.7719612247928741 1.000049812561359 0.014126522872214782 1.4126522872214782e-02 99999.99999999999 99999.99999999999   
2 100 0.7500016600238402 1.000049812561359 0.013007160233945905 1.3007160233945905e-02 0.7214979908274949 99999.99999999999   
3 150 0.7315242501075695 1.0120611020455481 0.013007160233945905 1.3838008431587832e-02 0.017937319109296034 99999.99999999999   
4 200 0.7161849647697631 1.0120611020455481 0.012071574694255299 1.2071574694255299e-02 0.024684017260016365 99999.99999999999   
5 250 0.7033931070105336 1.0140118716959363 0.012071574694255299 1.2341546760943079e-02 0.015090572559790766 99999.99999999999   
6 300 0.6919768409591248 1.0140118716959363 0.01165009671603557 1.1650096716035570e-02 0.015090572559790766 99999.99999999999   
7 350 0.6823120760581931 1.0151254007716597 0.01165009671603557 1.1845164387482064e-02 0.015090572559790766 99999.99999999999   
8 400 0.6740361647073687 1.0151254007716597 0.01165009671603557 1.2140365272010041e-02 0.015230106099213592 99999.99999999999   
9 450 0.6685269111680414 1.0162774703680817 0.01165009671603557 1.1965294556438523e-02 0.015090572559790766 99999.99999999999   
10 500 0.6636306207691464 1.0162774703680817 0.01165009671603557 1.2354061783717016e-02 0.014542662780928481 0.06603627866838607   
