n_gens,n_evals,ind_id,f1,f2,f3,f4,f5,f6,f7,f8,obj_hard,obj_medium,obj_easy
1,10,0,1e-05,1e-05,1e-05,1e-05,4.039553931205937,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981433616572e-05
1,10,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,2,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
1,10,3,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,4,53.09224472101786,63.09224472101787,43.09224472101786,23.092244721017863,104.16822989054491,1e-05,13.092244721017863,23.092244721017863,1.9999996232972195e-05,20.99491993552229,43.633668650822536
1,10,5,1e-05,1e-05,1e-05,1e-05,3.64286169328037,1e-05,1e-05,1e-05,1e-05,1e-05,1.499997941181868e-05
1,10,6,1e-05,1e-05,1e-05,1e-05,4.039553931205937,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981433616572e-05
1,10,7,1e-05,53.09224472101786,102.6391287556358,33.09224472101786,23.092244721017863,3.0922447210178636,1e-05,13.092244721017863,1.9999935322275156e-05,2.9999988011574727e-05,21.657394125747714
1,10,8,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
1,10,9,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
2,20,0,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,3.0922447210178636,1e-05,73.09224472101786,5.770412009106055,2.9999972330754176e-05,45.06950823660603
2,20,1,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
2,20,2,1e-05,1e-05,1e-05,1e-05,4.039553931205937,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981433616572e-05
2,20,3,1e-05,1e-05,1e-05,1e-05,3.747171946865459,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999979984932376e-05
2,20,4,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
2,20,5,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,6,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999972330754176e-05,31.189216745204465
2,20,7,1e-05,1e-05,1e-05,1e-05,4.504255329283851,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999983349097408e-05
2,20,8,43.09224472101786,23.092244721017863,103.09108790687074,13.092244721017863,104.36946051061477,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999974175645593e-05,31.188107722211928
2,20,9,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
3,30,0,1e-05,1e-05,1e-05,1e-05,4.149479634189458,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981925466269e-05
