n_gens,n_evals,ind_id,f1,f2,f3,f4,f5,f6,f7,f8,obj_hard,obj_medium,obj_easy
1,10,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,1,1e-05,1e-05,1e-05,1e-05,3.9852920543555967,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998118082568e-05
1,10,2,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
1,10,3,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,5,1e-05,63.09224472101787,3.0922447210178636,23.092244721017863,102.84496752166427,3.0922447210178636,103.41447550260801,3.0922447210178636,1.9999935322275156e-05,7.971005139964179,8.596903609373944
1,10,6,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,7,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,23.092244721017863,3.0922447210178636,3.0922447210178636,3.0922447210178636,1.9999935322275156e-05,4.347297343127852,7.78150782662805
1,10,8,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
1,10,9,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,1,1e-05,1e-05,1e-05,1e-05,2.9755805853431503,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999974794877228e-05
2,20,2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,3,1e-05,1e-05,1e-05,1e-05,3.9852920543555967,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998118082568e-05
2,20,4,1e-05,1e-05,1e-05,1e-05,3.9852920543555967,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998118082568e-05
2,20,5,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
2,20,6,1e-05,63.09224472101787,3.0922447210178636,23.092244721017863,102.84496752166427,3.0922447210178636,103.41447550260801,3.0922447210178636,1.9999935322275156e-05,7.971005139964179,8.596903609373944
2,20,7,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,8,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,9,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
3,30,0,1e-05,3.0922447210178636,3.0922447210178636,23.092244721017863,13.092244721017863,3.0922447210178636,3.0922447210178636,3.0922447210178636,1.9999935322275156e-05,4.347297343127852,4.148457037526919
3,30,1,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
3,30,2,1e-05,1e-05,1e-05,1e-05,4.4140217869911815,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999983008712085e-05
3,30,3,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
3,30,4,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,23.092244721017863,3.0922447210178636,63.09224472101787,3.0922447210178636,1.9999935322275156e-05,7.842233904011417,7.78150782662805
3,30,5,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
3,30,6,1e-05,83.09224472101786,53.09224472101786,23.092244721017863,103.45318876566178,13.092244721017863,73.09224472101786,3.0922447210178636,1.9999984723792484e-05,39.566839957982936,8.693366823086228
3,30,7,1e-05,43.09224472101786,3.0922447210178636,23.092244721017863,103.11799415308697,3.0922447210178636,73.09224472101786,3.0922447210178636,1.9999935322275156e-05,7.886941350902553,8.420028512313952
3,30,8,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
3,30,9,1e-05,43.09224472101786,1e-05,23.092244721017863,1e-05,3.0922447210178636,3.0922447210178636,53.09224472101786,1.9999935322275156e-05,2.9999889992127855e-05,2.9999987387653e-05
4,40,0,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,3.0922447210178636,3.0922447210178636,63.09224472101787,3.0922447210178636,1.9999935322275156e-05,7.842233904011417,4.5071134690186385
4,40,1,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,103.50858583965423,3.0922447210178636,63.09224472101787,3.0922447210178636,1.9999935322275156e-05,7.842233904011417,8.52549207652015
4,40,2,1e-05,33.09224472101786,13.092244721017863,23.092244721017863,23.092244721017863,13.092244721017863,102.10425609805431,3.0922447210178636,1.9999984723792484e-05,23.169675075097203,7.558334996321299
4,40,3,1e-05,63.09224472101787,3.0922447210178636,23.092244721017863,102.84496752166427,3.0922447210178636,103.41447550260801,3.0922447210178636,1.9999935322275156e-05,7.971005139964179,8.596903609373944
