n_iter,n_gens,ind_id,mean_obj,obj_1,obj_2,obj_3
0,0,0,22.06149981401191,1e-05,53.09224472101786,13.092244721017863
0,0,1,1e-05,1e-05,1e-05,1e-05
0,0,2,1e-05,1e-05,1e-05,1e-05
0,0,3,5.394833147345242,13.092244721017863,1e-05,3.092244721017863
0,0,4,1e-05,1e-05,1e-05,1e-05
0,0,5,19.75891138768453,3.092244721017863,23.092244721017863,33.09224472101786
0,0,6,1.0307549070059545,3.092244721017863,1e-05,1e-05
0,0,7,1e-05,1e-05,1e-05,1e-05
0,0,8,1e-05,1e-05,1e-05,1e-05
0,0,9,1e-05,1e-05,1e-05,1e-05
0,0,10,18.728166480678578,43.09224472101786,1e-05,13.092244721017863
0,0,11,1e-05,1e-05,1e-05,1e-05
0,0,12,39.75891138768453,83.09224472101786,13.092244721017863,23.092244721017863
0,0,13,35.47483164828035,103.33224022382318,1e-05,3.092244721017863
0,0,14,1e-05,1e-05,1e-05,1e-05
0,0,15,1e-05,1e-05,1e-05,1e-05
0,0,16,1e-05,1e-05,1e-05,1e-05
0,0,17,45.47483164828035,103.33224022382318,1e-05,33.09224472101786
0,0,18,36.4255780543512,3.092244721017863,43.09224472101786,63.09224472101786
0,0,19,8.728166480678576,23.092244721017863,1e-05,3.092244721017863
0,1,0,22.06149981401191,1e-05,53.09224472101786,13.092244721017863
0,1,1,1e-05,1e-05,1e-05,1e-05
0,1,2,1e-05,1e-05,1e-05,1e-05
0,1,3,5.394833147345242,13.092244721017863,1e-05,3.0922447210178636
0,1,4,1e-05,1e-05,1e-05,1e-05
0,1,5,19.75891138768453,3.0922447210178636,23.092244721017863,33.09224472101786
0,1,6,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,1,7,1e-05,1e-05,1e-05,1e-05
0,1,8,1e-05,1e-05,1e-05,1e-05
0,1,9,1e-05,1e-05,1e-05,1e-05
0,1,10,18.728166480678578,43.09224472101786,1e-05,13.092244721017863
0,1,11,1e-05,1e-05,1e-05,1e-05
0,1,12,39.75891138768453,83.09224472101786,13.092244721017863,23.092244721017863
0,1,13,35.47483164828034,103.33224022382316,1e-05,3.0922447210178636
0,1,14,1e-05,1e-05,1e-05,1e-05
0,1,15,1e-05,1e-05,1e-05,1e-05
0,1,16,1e-05,1e-05,1e-05,1e-05
0,1,17,45.47483164828034,103.33224022382316,1e-05,33.09224472101786
0,1,18,36.4255780543512,3.0922447210178636,43.09224472101786,63.09224472101787
0,1,19,8.728166480678576,23.092244721017863,1e-05,3.0922447210178636
0,2,0,12.06149981401191,33.09224472101786,1e-05,3.0922447210178636
0,2,1,18.728166480678578,43.09224472101786,1e-05,13.092244721017863
0,2,2,1e-05,1e-05,1e-05,1e-05
0,2,3,46.81099965656578,104.2485095276616,23.092244721017863,13.092244721017863
0,2,4,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,2,5,12.06149981401191,13.092244721017863,1e-05,23.092244721017863
0,2,6,1e-05,1e-05,1e-05,1e-05
0,2,7,1e-05,1e-05,1e-05,1e-05
0,2,8,9.75891138768453,23.092244721017863,3.0922447210178636,3.0922447210178636
0,2,9,1e-05,1e-05,1e-05,1e-05
0,2,10,1e-05,1e-05,1e-05,1e-05
0,2,11,1e-05,1e-05,1e-05,1e-05
0,2,12,1e-05,1e-05,1e-05,1e-05
0,2,13,1e-05,1e-05,1e-05,1e-05
0,2,14,1e-05,1e-05,1e-05,1e-05
0,2,15,1e-05,1e-05,1e-05,1e-05
0,2,16,1e-05,1e-05,1e-05,1e-05
0,2,17,1e-05,1e-05,1e-05,1e-05
0,2,18,1.0307549070059545,1e-05,1e-05,3.0922447210178636
0,2,19,42.14149831494701,103.33224022382316,1e-05,23.092244721017863
0,3,0,1e-05,1e-05,1e-05,1e-05
0,3,1,1e-05,1e-05,1e-05,1e-05
0,3,2,22.061499814011913,63.09224472101787,1e-05,3.0922447210178636
0,3,3,1e-05,1e-05,1e-05,1e-05
0,3,4,22.06149981401191,43.09224472101786,1e-05,23.092244721017863
0,3,5,23.092244721017863,23.092244721017863,43.09224472101786,3.0922447210178636
0,3,6,1e-05,1e-05,1e-05,1e-05
0,3,7,33.09224472101786,63.09224472101787,13.092244721017863,23.092244721017863
0,3,8,8.728166480678576,23.092244721017863,1e-05,3.0922447210178636
0,3,9,48.621635313768195,102.77265122028673,1e-05,43.09224472101786
0,3,10,42.14149831494701,103.33224022382316,1e-05,23.092244721017863
0,3,11,23.092244721017867,63.09224472101787,3.0922447210178636,3.0922447210178636
0,3,12,1e-05,1e-05,1e-05,1e-05
0,3,13,42.985713554107484,102.77265122028673,3.0922447210178636,23.092244721017863
