n_iter,n_gens,ind_id,mean_obj,obj_1,obj_2,obj_3
0,0,0,1e-05,1e-05,1e-05,1e-05
0,0,1,16.425578054351195,23.092244721017863,3.092244721017863,23.092244721017863
0,0,2,1e-05,1e-05,1e-05,1e-05
0,0,3,1e-05,1e-05,1e-05,1e-05
0,0,4,1e-05,1e-05,1e-05,1e-05
0,0,5,1e-05,1e-05,1e-05,1e-05
0,0,6,1.198205415597604,1e-05,1e-05,3.594596246792812
0,0,7,1e-05,1e-05,1e-05,1e-05
0,0,8,1e-05,1e-05,1e-05,1e-05
0,0,9,43.09224472101786,23.092244721017863,83.09224472101786,23.092244721017863
0,0,10,12.06149981401191,1e-05,23.092244721017863,13.092244721017863
0,0,11,1e-05,1e-05,1e-05,1e-05
0,0,12,1e-05,1e-05,1e-05,1e-05
0,0,13,32.06149981401191,1e-05,73.09224472101786,23.092244721017863
0,0,14,1e-05,1e-05,1e-05,1e-05
0,0,15,28.728166480678578,1e-05,63.09224472101786,23.092244721017863
0,0,16,1e-05,1e-05,1e-05,1e-05
0,0,17,1e-05,1e-05,1e-05,1e-05
0,0,18,1e-05,1e-05,1e-05,1e-05
0,0,19,2.0614998140119085,1e-05,3.092244721017863,3.092244721017863
0,1,0,1e-05,1e-05,1e-05,1e-05
0,1,1,16.425578054351195,23.092244721017863,3.0922447210178636,23.092244721017863
0,1,2,1e-05,1e-05,1e-05,1e-05
0,1,3,1e-05,1e-05,1e-05,1e-05
0,1,4,1e-05,1e-05,1e-05,1e-05
0,1,5,1e-05,1e-05,1e-05,1e-05
0,1,6,1.198205415597604,1e-05,1e-05,3.594596246792812
0,1,7,1e-05,1e-05,1e-05,1e-05
0,1,8,1e-05,1e-05,1e-05,1e-05
0,1,9,43.09224472101786,23.092244721017863,83.09224472101786,23.092244721017863
0,1,10,12.06149981401191,1e-05,23.092244721017863,13.092244721017863
0,1,11,1e-05,1e-05,1e-05,1e-05
0,1,12,1e-05,1e-05,1e-05,1e-05
0,1,13,32.06149981401191,1e-05,73.09224472101786,23.092244721017863
0,1,14,1e-05,1e-05,1e-05,1e-05
0,1,15,28.728166480678578,1e-05,63.09224472101787,23.092244721017863
0,1,16,1e-05,1e-05,1e-05,1e-05
0,1,17,1e-05,1e-05,1e-05,1e-05
0,1,18,1e-05,1e-05,1e-05,1e-05
0,1,19,2.0614998140119094,1e-05,3.0922447210178636,3.0922447210178636
0,2,0,1e-05,1e-05,1e-05,1e-05
0,2,1,46.4255780543512,53.09224472101786,73.09224472101786,13.092244721017863
0,2,2,1e-05,1e-05,1e-05,1e-05
0,2,3,26.425578054351195,43.09224472101786,13.092244721017863,23.092244721017863
0,2,4,22.06149981401191,43.09224472101786,1e-05,23.092244721017863
0,2,5,1e-05,1e-05,1e-05,1e-05
0,2,6,1e-05,1e-05,1e-05,1e-05
0,2,7,2.0614998140119094,1e-05,3.0922447210178636,3.0922447210178636
0,2,8,28.728166480678578,1e-05,63.09224472101787,23.092244721017863
0,2,9,1e-05,1e-05,1e-05,1e-05
0,2,10,1e-05,1e-05,1e-05,1e-05
